"","domain","visits","pageviews","users","pageviews_per_session","avg_session_duration","exits","url","category","scraper_url","status","n_errors","n_lp","n_pp","error_bin"
"46","benefits.gov",1135586,1996372,977600,1.758010402,106.0480562,1142288,"http://benefits.gov","Benefits","https://benefits.gov/about-us","FAIL",15,"13","296","10-19 errors"
"47","fema.gov",1287827,2854285,972812,2.216357477,146.7412913,1235165,"http://fema.gov","Consumer Safety","https://www.fema.gov/about-agency","PASS",0,"0","0","0-10 errors"
"48","choosemyplate.gov",1292615,5324615,923023,4.119258248,311.2051137,1291657,"http://choosemyplate.gov","Health","https://www.choosemyplate.gov/about-us","FAIL",36,"22","937","30-39 errors"
"49","petitions.whitehouse.gov",1217930,1934135,919193,1.588051037,73.00316274,1217930,"http://whitehouse.gov","Government Officials","https://www.whitehouse.gov/the-trump-administration/","PASS",0,"0","0","0-10 errors"
"50","bop.gov",1611460,4824804,915363,2.994057563,149.2120903,1610502,"http://www.bop.gov","Law Enforcement and Justice","https://www.bop.gov/about/agency/","PASS",0,"0","0","0-10 errors"
"51","consumerfinance.gov",1296445,2577569,891425,1.988182299,131.1425074,1288785,"http://consumerfinance.gov","Consumer Safety","https://www.consumerfinance.gov/about-us/the-bureau/","FAIL",8,"13","408","0-10 errors"
"52","vets.gov",1815406,4940661,868446,2.721518492,151.6439491,1807746,"http://vets.gov","Military and Veterans","https://www.vets.gov/","FAIL",104,"108","555","More than 100 errors"
"53","cpsc.gov",1101116,2014564,855041,1.829565641,88.36610493,1094414,"http://www.cpsc.gov","Consumer Safety","https://www.cpsc.gov/About-CPSC","FAIL",16,"35","577","10-19 errors"
"54","fmcsa.dot.gov",1364427,3910399,847381,2.865964247,188.3887207,1287827,"http://dot.gov","Travel and Transportation","https://www.transportation.gov/regulations/rulemaking-requirements","FAIL",7,"14","456","0-10 errors"
"55","samhsa.gov",1004409,1741679,758334,1.734033646,102.0019574,989090,"http://samhsa.gov","Health","https://www.samhsa.gov/about-us","CONDITIONAL PASS",0,"24","78","0-10 errors"
"56","aviationweather.gov",3209514,28177086,751632,8.779237604,3455.993307,3207599,"http://aviationweather.gov","Travel and Transportation","https://aviationweather.gov/info","FAIL",61,"12","374","60-69 errors"
"57","sba.gov",990047,2201275,741099,2.223404545,158.7978904,988132,"http://sba.gov","Money and Business","https://www.sba.gov/about-sba/what-we-do/mission","FAIL",3,"7","25","0-10 errors"
"58","oceanservice.noaa.gov",832061,1187291,708544,1.426927833,85.75372719,833018,"http://noaa.gov","Home, Community, and Work","http://www.noaa.gov/about-our-agency","FAIL",35,"16","286","30-39 errors"
"59","treasurydirect.gov",976642,3523572,707587,3.607844021,246.9373107,975685,"http://treasurydirect.gov","Money and Business","https://treasurydirect.gov/about.htm","FAIL",11,"15","489","10-19 errors"
"60","eeoc.gov",1158566,2947162,703757,2.543801562,193.4445901,1167183,"http://eeoc.gov","Home, Community, and Work","https://www.eeoc.gov/eeoc/","FAIL",29,"13","810","20-29 errors"
"61","nist.gov",846423,2236702,666415,2.642534525,158.5600025,790889,"http://nist.gov","Money and Business","https://www.nist.gov/about-nist","FAIL",4,"18","723","0-10 errors"
"62","mx.usembassy.gov",979515,2808325,661627,2.867056656,195.6353256,960365,"http://usembassy.gov","Travel and Transportation","https://mx.usembassy.gov/visas/","FAIL",2,"14","65","0-10 errors"
"63","nsopw.gov",1135586,6298385,647265,5.546374295,298.0531074,1135586,"http://nsopw.gov","Law Enforcement and Justice","https://www.nsopw.gov/en/Home/About","FAIL",27,"14","195","20-29 errors"
"64","womenshealth.gov",748759,969940,646307,1.295396783,42.38235534,750674,"http://womenshealth.gov","Health","https://www.womenshealth.gov/about-us/who-we-are/vision-mission-goals-and-history","FAIL",23,"35","871","20-29 errors"
"65","export.gov",794719,1351979,627158,1.701203822,134.8951252,789931,"http://export.gov","Money and Business","https://www.export.gov/ITA","FAIL",3,"1","3","0-10 errors"
"66","ice.gov",806209,1561670,624285,1.937053543,154.4476631,774611,"http://ice.gov","Law Enforcement and Justice","https://www.ice.gov/about","PASS",0,"0","0","0-10 errors"
"67","sam.gov",2147655,58047975,608965,27.0285381,736.2101213,2146698,"http://sam.gov","Money and Business","https://www.sam.gov/portal/SAM/?navigationalstate=JBPNS_rO0ABXdcACJqYXZheC5mYWNlcy5wb3J0bGV0YnJpZGdlLlNUQVRFX0lEAAAAAQApdmlldzowMTJhYTZjOC1lYTAzLTQzNWYtOTZiMC05Y2MwYTE3NzFmMjAAB19fRU9GX18*&portal:componentId=8c36e6ab-299f-4618-9947-8d7e71dd6130&interactionstate=JBPNS_rO0ABXdHABBfanNmQnJpZGdlVmlld0lkAAAAAQAmL2pzZi9nZW5lcmFsSW5mby9zYW1HZW5lcmFsSW5mb05hdi5qc3AAB19fRU9GX18*&portal:type=action##11","FAIL",77,"48","379","70-79 errors"
"68","fbo.gov",2037544,15248066,595560,7.483551766,431.9158345,2034671,"http://fbo.gov","Money and Business","https://www.fbo.gov/?s=main&mode=list&tab=list&tabmode=list","FAIL",8,"22","279","0-10 errors"
"69","nsf.gov",904830,2617784,515131,2.893122465,176.6243957,906745,"http://nsf.gov","Children and Education","https://nsf.gov/about/","FAIL",8,"17","605","0-10 errors"
